TRADE_CHNL_DESC,TRADE_GROUP_DESC,TRADE_TYPE_DESC
SPORT VENUE,ENTERTAINMENT,ALCOHOLIC
SUPERETTE,SERVICES,MIX
PLANT / OFFICE,SERVICES,MIX
MASS MERCHANDISER,GROCERY,MIX
LIQUOR/BEER/WINE/SOFT,GROCERY,ALCOHOLIC
CONVENIENCE STORE,SERVICES,MIX
QUICK SERVICE RESTAURANT,ENTERTAINMENT,ALCOHOLIC
SUPERMARKET,GROCERY,MIX
ALL OTHER,OTHER,MIX
OTHER EATING + DRINKING,SERVICES,MIX
RESTAURANT,ENTERTAINMENT,ALCOHOLIC
HYPER-MERCHANDISER,GROCERY,MIX
DRUG STORE,GROCERY,MIX
TRANSPORTATION,SERVICES,NON ALCOHOLIC
MILITARY-COMMISARY,GOV & MILITARY,MIX
MILITARY-OTHER,GOV & MILITARY,MIX
COLLEGE/UNIVERSITY,ACADEMIC,NON ALCOHOLIC
PRIMARY/SECONDARY SCHOOL,ACADEMIC,NON ALCOHOLIC
HEALTH / HOSPITAL,ACADEMIC,NON ALCOHOLIC
GENERAL MERCHANDISER,GROCERY,MIX
LODGING,ENTERTAINMENT,ALCOHOLIC
AUTOMOTIVE SERVICES,SERVICES,NON ALCOHOLIC
LOCAL+TRADITIONAL GROCERY,GROCERY,MIX
AMUSEMENT/RECREATIONAL,ENTERTAINMENT,NON ALCOHOLIC
CASH + CARRY RETAIL,GROCERY,MIX
MILITARY-EXCHANGE,GOV & MILITARY,MIX
GOVERNMENT(NON-MILITARY),GOV & MILITARY,NON ALCOHOLIC
WHOLESALE,GROCERY,MIX
BAR/TAVERN/LICENSED EST,ENTERTAINMENT,ALCOHOLIC
RETAIL SPECIALITY SVCS,GROCERY,ALCOHOLIC
CLUB STORE,ENTERTAINMENT,ALCOHOLIC
